term_type,canonical_name,aliases,category,source_note,active,priority_score,confidence_score,metadata_json
vet_term,wellness exam,"annual exam|wellness visit|checkup|routine exam",visit_type,"Common preventive visit language used in veterinary records",true,10,0.99,"{""canonical_group"":""preventive_visit"",""source"":""EVH RAG vet taxonomy""}"
vet_term,annual exam,"annual wellness exam|yearly exam|annual checkup",visit_type,"Common preventive visit language used in veterinary records",true,20,0.98,"{""canonical_group"":""preventive_visit"",""source"":""EVH RAG vet taxonomy""}"
vet_term,physical exam,"PE|physical examination|exam",clinical_procedure,"General physical examination wording",true,30,0.97,"{""canonical_group"":""exam"",""source"":""EVH RAG vet taxonomy""}"
vet_term,recheck,"recheck exam|recheck visit|follow-up exam",visit_type,"Follow-up visit language",true,25,0.97,"{""canonical_group"":""follow_up_visit"",""source"":""EVH RAG vet taxonomy""}"
vet_term,follow-up,"follow up|followup|re-evaluation",visit_type,"Follow-up visit and plan language",true,30,0.96,"{""canonical_group"":""follow_up_visit"",""source"":""EVH RAG vet taxonomy""}"
vet_term,surgery,"surgical procedure|operation|procedure",procedure,"Umbrella surgery/procedure wording",true,15,0.97,"{""canonical_group"":""procedure"",""source"":""EVH RAG vet taxonomy""}"
vet_term,spay,"ovariohysterectomy|ovariectomy|spay surgery",surgery,"Common female sterilization wording",true,15,0.98,"{""canonical_group"":""sterilization"",""source"":""EVH RAG vet taxonomy""}"
vet_term,neuter,"castration|neuter surgery",surgery,"Common male sterilization wording",true,15,0.98,"{""canonical_group"":""sterilization"",""source"":""EVH RAG vet taxonomy""}"
vet_term,vaccination,"vaccine|vaccines|vaccinated",preventive_care,"General vaccine and immunization wording",true,12,0.99,"{""canonical_group"":""preventive_care"",""source"":""EVH RAG vet taxonomy""}"
vet_term,booster,"booster shot|booster vaccine|booster dose",preventive_care,"Booster language used in vaccine records",true,20,0.95,"{""canonical_group"":""preventive_care"",""source"":""EVH RAG vet taxonomy""}"
vet_term,rabies vaccine,"rabies|rabies shot|rabies booster",vaccine,"Rabies-specific vaccine wording",true,10,0.99,"{""canonical_group"":""vaccine"",""source"":""EVH RAG vet taxonomy""}"
vet_term,distemper vaccine,"distemper|dhpp|da2pp|da2ppv",vaccine,"Core canine vaccine wording",true,15,0.98,"{""canonical_group"":""vaccine"",""species_hint"":""canine"",""source"":""EVH RAG vet taxonomy""}"
vet_term,feline vaccine,"fvrcp|feline vaccine|cat vaccine",vaccine,"Core feline vaccine wording",true,15,0.98,"{""canonical_group"":""vaccine"",""species_hint"":""feline"",""source"":""EVH RAG vet taxonomy""}"
vet_term,heartworm prevention,"heartworm preventive|heartworm pill|hw prevention",preventive_medication,"Heartworm prevention language",true,18,0.98,"{""canonical_group"":""prevention"",""source"":""EVH RAG vet taxonomy""}"
vet_term,flea prevention,"flea control|flea treatment|flea medication",preventive_medication,"Flea prevention language",true,18,0.98,"{""canonical_group"":""prevention"",""source"":""EVH RAG vet taxonomy""}"
vet_term,tick prevention,"tick control|tick treatment",preventive_medication,"Tick prevention language",true,18,0.97,"{""canonical_group"":""prevention"",""source"":""EVH RAG vet taxonomy""}"
vet_term,parasite prevention,"deworming|worming|parasite control",preventive_care,"Parasite prevention and deworming language",true,20,0.96,"{""canonical_group"":""preventive_care"",""source"":""EVH RAG vet taxonomy""}"
vet_term,dental cleaning,"dental prophylaxis|prophy|dental prophy",procedure,"Dental procedure language",true,18,0.96,"{""canonical_group"":""dental_procedure"",""source"":""EVH RAG vet taxonomy""}"
vet_term,oral exam,"mouth exam|oral examination",clinical_procedure,"Oral exam wording",true,30,0.94,"{""canonical_group"":""exam"",""source"":""EVH RAG vet taxonomy""}"
vet_term,diagnosis,"dx|diagnosed with|assessment",clinical_note,"Diagnosis and assessment language",true,40,0.94,"{""canonical_group"":""clinical_assessment"",""source"":""EVH RAG vet taxonomy""}"
vet_term,treatment plan,"plan|tx plan|treatment recommendation",clinical_note,"Treatment planning language",true,40,0.95,"{""canonical_group"":""clinical_plan"",""source"":""EVH RAG vet taxonomy""}"
vet_term,prescription,"rx|dispense|prescribed",medication,"Prescription and dispensing language",true,35,0.95,"{""canonical_group"":""medication_action"",""source"":""EVH RAG vet taxonomy""}"
vet_term,discharge instructions,"discharge|home care instructions|aftercare",client_education,"Client-facing discharge language",true,25,0.96,"{""canonical_group"":""client_education"",""source"":""EVH RAG vet taxonomy""}"
vet_term,client education,"education provided|client advised|owner instructed",client_education,"Client education language",true,35,0.92,"{""canonical_group"":""client_education"",""source"":""EVH RAG vet taxonomy""}"
vet_term,anesthesia,"anesthetic|general anesthesia|sedation",procedure,"Anesthesia and sedation context",true,15,0.96,"{""canonical_group"":""procedure"",""source"":""EVH RAG vet taxonomy""}"
vet_term,sedation,"sedated|sedative|light sedation",procedure,"Sedation context",true,20,0.95,"{""canonical_group"":""procedure"",""source"":""EVH RAG vet taxonomy""}"
vet_term,hospitalization,"hospitalized|admitted|inpatient",care_setting,"Hospital stay language",true,25,0.94,"{""canonical_group"":""care_setting"",""source"":""EVH RAG vet taxonomy""}"
vet_term,emergency,"er|emergency visit|urgent care",visit_type,"Emergency or urgent visit language",true,25,0.95,"{""canonical_group"":""visit_type"",""source"":""EVH RAG vet taxonomy""}"
vet_term,lab work,"bloodwork|cbc|chemistry|lab panel",diagnostic_test,"Laboratory work language",true,25,0.96,"{""canonical_group"":""diagnostics"",""source"":""EVH RAG vet taxonomy""}"
vet_term,urinalysis,"ua|urine sample|urine analysis",diagnostic_test,"Urine testing language",true,25,0.96,"{""canonical_group"":""diagnostics"",""source"":""EVH RAG vet taxonomy""}"
vet_term,fecal test,"fecal exam|fecal flotation|stool test",diagnostic_test,"Fecal testing language",true,25,0.95,"{""canonical_group"":""diagnostics"",""source"":""EVH RAG vet taxonomy""}"
vet_term,radiographs,"x-rays|xray|radiology",diagnostic_test,"Imaging and x-ray language",true,25,0.96,"{""canonical_group"":""diagnostics"",""source"":""EVH RAG vet taxonomy""}"
vet_term,ultrasound,"sonogram|ultrasonography",diagnostic_test,"Ultrasound imaging language",true,25,0.95,"{""canonical_group"":""diagnostics"",""source"":""EVH RAG vet taxonomy""}"
vet_term,mass,"lump|growth|tumor",clinical_finding,"Abnormal mass finding language",true,45,0.9,"{""canonical_group"":""finding"",""source"":""EVH RAG vet taxonomy""}"
vet_term,lameness,"limp|limping|gait abnormality",clinical_finding,"Mobility and gait wording",true,45,0.92,"{""canonical_group"":""finding"",""source"":""EVH RAG vet taxonomy""}"
vet_term,diarrhea,"loose stool|soft stool|enteritis",clinical_finding,"GI symptom wording",true,45,0.92,"{""canonical_group"":""symptom"",""source"":""EVH RAG vet taxonomy""}"
vet_term,vomiting,"vomit|emesis|throwing up",clinical_finding,"GI symptom wording",true,45,0.92,"{""canonical_group"":""symptom"",""source"":""EVH RAG vet taxonomy""}"
vet_term,dermatitis,"skin inflammation|rash|itching",clinical_finding,"Skin disease wording",true,45,0.91,"{""canonical_group"":""skin"",""source"":""EVH RAG vet taxonomy""}"
vet_term,otitis,"ear infection|ear inflammation",clinical_finding,"Ear disease wording",true,45,0.91,"{""canonical_group"":""ear"",""source"":""EVH RAG vet taxonomy""}"
vet_term,arthritis,"degenerative joint disease|djd|osteoarthritis",clinical_finding,"Joint disease wording",true,45,0.92,"{""canonical_group"":""mobility"",""source"":""EVH RAG vet taxonomy""}"
